user_id,item_id,interaction_type,timestamp
295,86,purchase,2025-01-01 21:09:32.484880
284,222,click,2024-12-29 23:43:00.485815
608,469,purchase,2025-01-10 10:32:43.485827
262,230,view,2025-01-18 19:42:54.485836
940,415,purchase,2025-01-12 14:26:49.485844
73,417,view,2025-01-13 15:59:37.485852
775,257,purchase,2025-01-11 02:39:31.485859
393,430,click,2025-01-18 14:02:32.485867
86,299,click,2024-12-27 16:06:58.485874
808,165,click,2024-12-31 02:07:05.485881
449,98,click,2025-01-01 05:41:31.485888
561,17,purchase,2025-01-15 08:56:20.485895
237,338,view,2025-01-06 08:24:57.485902
518,224,view,2024-12-28 10:42:15.485909
220,79,view,2025-01-13 06:29:57.485915
770,45,click,2024-12-31 01:31:40.485922
527,263,view,2025-01-12 22:16:08.485928
826,483,view,2025-01-23 05:42:21.485935
732,209,view,2024-12-24 19:59:19.485942
799,357,purchase,2025-01-10 19:49:24.485948
1,420,view,2025-01-21 14:22:50.485955
922,33,click,2025-01-03 08:13:20.485962
640,206,view,2025-01-13 20:04:52.485968
405,375,purchase,2025-01-15 00:35:43.485975
233,65,view,2025-01-01 08:04:40.485981
535,71,purchase,2024-12-30 16:47:49.485988
331,13,view,2025-01-01 17:42:30.485994
428,437,view,2025-01-11 18:24:38.486001
896,152,purchase,2025-01-08 12:20:09.486007
523,482,click,2025-01-08 01:05:55.486014
166,386,view,2025-01-22 06:30:36.486020
705,151,view,2024-12-31 08:02:17.486027
742,92,purchase,2025-01-01 13:08:53.486033
975,402,click,2024-12-24 17:15:53.486040
975,338,purchase,2025-01-01 01:13:25.486046
9,397,click,2025-01-04 06:10:11.486053
453,419,purchase,2025-01-21 01:11:42.486059
8,497,view,2024-12-30 03:49:11.486066
379,300,click,2024-12-25 15:42:03.486073
94,139,view,2024-12-26 02:11:17.486079
451,304,click,2025-01-14 22:36:58.486086
775,360,click,2024-12-27 04:44:22.486092
175,364,view,2025-01-18 22:38:15.486099
973,419,view,2025-01-07 00:30:07.486105
447,419,view,2024-12-28 03:41:38.486112
633,177,purchase,2025-01-22 06:52:15.486118
301,277,view,2025-01-05 19:14:08.486125
706,436,purchase,2024-12-24 23:31:07.486132
142,450,purchase,2024-12-27 13:05:48.486138
305,422,view,2025-01-09 18:53:16.486145
523,66,view,2025-01-20 13:12:28.486151
33,217,purchase,2025-01-13 08:12:32.486158
516,443,purchase,2025-01-04 20:42:16.486164
737,274,purchase,2025-01-15 15:21:29.486170
578,84,view,2025-01-20 16:26:19.486177
57,326,view,2025-01-03 03:18:18.486183
590,237,view,2024-12-28 02:39:23.486190
895,119,purchase,2024-12-25 04:16:37.486196
755,93,click,2025-01-11 21:09:27.486203
134,233,click,2024-12-26 23:39:01.486209
333,339,purchase,2025-01-02 12:39:03.486215
678,150,purchase,2025-01-18 08:31:28.486222
576,438,purchase,2025-01-10 08:49:04.486228
707,312,purchase,2025-01-14 16:58:29.486235
989,388,view,2024-12-27 10:52:16.486241
743,288,click,2025-01-21 13:19:43.486248
655,72,purchase,2025-01-17 19:33:38.486254
805,282,purchase,2025-01-19 12:32:00.486260
410,12,click,2025-01-21 05:28:03.486267
44,424,view,2025-01-20 20:02:13.486273
491,194,view,2024-12-28 13:26:48.486279
565,41,purchase,2025-01-13 02:32:18.486286
888,176,click,2024-12-31 10:49:42.486292
257,211,click,2025-01-16 21:32:43.486298
604,378,purchase,2025-01-03 04:18:03.486304
773,232,click,2025-01-10 01:20:08.486311
672,385,click,2025-01-23 06:21:00.486317
335,335,view,2025-01-21 14:31:54.486323
519,23,click,2025-01-06 08:11:56.486330
586,473,click,2025-01-02 22:56:14.486336
973,233,click,2025-01-07 05:22:31.486342
832,58,click,2025-01-18 09:47:13.486348
68,394,click,2025-01-18 14:01:41.486355
882,319,view,2025-01-15 12:27:35.486361
493,368,purchase,2025-01-02 09:13:33.486368
246,263,click,2025-01-18 12:57:16.486374
576,338,purchase,2025-01-13 00:10:00.486381
72,70,purchase,2025-01-11 06:59:35.486387
56,483,click,2025-01-02 19:43:21.486393
448,477,purchase,2024-12-31 02:51:15.486400
150,487,view,2025-01-11 17:29:42.486406
744,38,view,2025-01-15 07:39:53.486412
885,433,purchase,2025-01-12 15:54:33.486419
606,86,click,2024-12-25 10:59:22.486425
647,302,click,2024-12-25 19:52:00.486432
744,379,purchase,2025-01-21 12:44:35.486438
504,189,purchase,2025-01-02 07:57:59.486444
502,7,view,2025-01-04 14:38:46.486451
272,250,purchase,2024-12-26 23:10:03.486457
35,415,purchase,2025-01-21 02:39:31.486463
513,362,click,2025-01-12 12:19:57.486470
542,155,purchase,2025-01-11 15:21:53.486476
212,20,purchase,2025-01-16 08:47:44.486482
55,211,click,2025-01-08 02:11:35.486489
380,255,view,2025-01-10 16:03:12.486495
118,175,view,2024-12-25 17:07:38.486501
451,36,view,2025-01-12 05:21:43.486508
467,38,purchase,2024-12-30 20:47:24.486514
407,495,click,2025-01-06 02:17:49.486520
535,451,click,2025-01-20 23:08:50.486527
682,357,click,2024-12-31 10:34:07.486533
611,416,view,2024-12-26 21:57:43.486539
974,79,purchase,2025-01-07 07:40:19.486545
755,184,purchase,2025-01-02 09:58:53.486552
201,397,click,2025-01-04 00:42:00.486558
156,478,purchase,2025-01-20 10:03:02.486564
817,354,click,2025-01-02 07:13:14.486570
368,102,purchase,2024-12-28 18:00:01.486577
96,422,view,2025-01-09 02:01:49.486583
727,275,purchase,2024-12-28 04:08:38.486589
914,452,click,2025-01-15 04:40:55.486596
529,5,click,2025-01-09 01:15:10.486602
149,272,purchase,2025-01-20 15:03:55.486608
481,312,view,2025-01-02 21:58:56.486614
491,396,view,2025-01-03 20:42:57.486620
